,Name,Rating,Reviews,Salaries,Interviews,Jobs,Benefits,Highly_Rated_for,Critically_Rated_for
69,Hexaware Technologies,3.4,7.8k,55.8k,841,1.8k,571,"Promotions, Salary, Work Satisfaction",
70,Sun Pharmaceutical Industries,4.0,7.7k,23.7k,696,373,620,"Salary, Job Security, Skill Development",
71,Jana Small Finance Bank,3.7,7.7k,14.5k,312,138,642,Salary,Promotions
72,Ujjivan Small Finance Bank,4.0,7.7k,13.8k,335,117,597,"Company Culture, Work Life Balance, Skill Development",
73,Zydus Lifesciences,4.0,7.6k,20.5k,520,39,644,"Salary, Work Life Balance, Skill Development",
74,HGS,3.7,7.6k,20.4k,279,26,974,"Promotions, Salary",
75,Ekart Logistics,3.9,7.6k,17.1k,415,--,435,Skill Development,Promotions
76,Amazon Development Centre India,3.8,7.5k,40.1k,907,9,367,"Company Culture, Work Life Balance","Promotions, Job Security, Skill Development"
77,Lupin,4.1,7.4k,22.6k,454,56,782,"Company Culture, Skill Development, Work Life Balance",Promotions
78,KPMG India,3.4,7.4k,70k,953,89,766,"Promotions, Work Life Balance, Work Satisfaction",
79,Axis Max Life Insurance,4.0,7.3k,20.2k,426,1.7k,533,"Skill Development, Company Culture, Work Life Balance",
80,L&T Construction,4.0,7.3k,19.5k,954,--,933,"Job Security, Skill Development, Salary","Work Life Balance, Promotions"
81,ITC,3.9,7.3k,25.3k,708,72,654,"Job Security, Skill Development",Promotions
82,Hindustan Unilever,4.2,7.3k,20.5k,480,29,717,"Skill Development, Company Culture, Work Life Balance",Promotions
83,Megha Engineering & Infrastructures,3.9,7k,19.2k,589,23,560,Work Life Balance,Promotions
84,Tata Projects,4.2,6.9k,22.7k,631,37,564,"Salary, Company Culture, Work Life Balance",
85,Cholamandalam Investment & Finance,3.8,6.8k,13.5k,306,58,317,Salary,
86,Bajaj Life Insurance,3.8,6.7k,17.9k,453,101,495,Salary,
87,L&T Technology Services,3.1,6.7k,44.9k,637,--,469,"Promotions, Salary, Work Satisfaction",
88,FIS,3.8,6.6k,39.3k,546,185,732,Work Life Balance,"Promotions, Job Security, Skill Development"
89,Oracle,3.3,6.6k,65.3k,966,202,638,Work Life Balance,"Promotions, Salary, Work Satisfaction"
90,Omega Healthcare,3.8,6.5k,28k,566,153,405,"Promotions, Salary",
91,JLL,4.1,6.5k,25.5k,506,358,557,"Company Culture, Work Life Balance, Job Security",Promotions
92,Muthoot Finance,3.7,6.5k,13.3k,369,156,345,"Promotions, Work Satisfaction",
93,IIFL Finance,4.0,6.4k,14k,338,62,415,"Work Life Balance, Company Culture, Skill Development",
94,eClerx,3.1,6.4k,33.5k,650,431,574,"Promotions, Salary, Work Satisfaction",
95,Indian Army,4.7,6.3k,9.3k,213,--,757,"Job Security, Company Culture, Work Life Balance",
96,DMart,3.9,6.2k,19.5k,572,236,496,"Job Security, Company Culture",Promotions
97,PolicyBazaar,3.7,6.2k,18.4k,654,1.4k,256,Salary,Work Life Balance
98,Piramal Finance,4.2,6.2k,12.5k,304,646,404,"Company Culture, Work Life Balance, Skill Development",
99,Virtusa Consulting Services,3.7,6.2k,57.7k,688,166,329,"Promotions, Work Satisfaction, Job Security",
100,Indiamart Intermesh,3.5,6.1k,21.8k,785,232,476,"Work Satisfaction, Promotions, Company Culture",
101,HSBC Group,3.8,6.1k,45.5k,565,126,1.1k,"Work Life Balance, Job Security, Company Culture","Promotions, Salary"
102,HCL Group,3.5,6.1k,38.7k,523,--,666,Job Security,"Promotions, Salary, Company Culture"
103,SMFG India Credit,3.9,6.1k,11.3k,217,144,366,Salary,Promotions
104,Access Healthcare,3.7,6k,29.7k,414,1.1k,371,Promotions,
105,BigBasket,3.9,5.9k,20.1k,504,46,392,Job Security,Promotions
106,Siemens,4.0,5.9k,35k,520,461,645,"Work Life Balance, Job Security, Company Culture",Promotions
107,Manappuram Finance,3.9,5.9k,9.7k,236,20,274,"Work Life Balance, Promotions, Skill Development",
108,ICICI Lombard General Insurance Company,3.5,5.9k,20.4k,369,241,388,"Promotions, Work Satisfaction, Company Culture",
109,Firstsource Solutions,3.5,5.9k,25.1k,370,125,585,"Promotions, Salary, Work Satisfaction",
110,GlobalLogic,3.5,5.9k,41.9k,697,82,535,"Promotions, Salary, Work Satisfaction",
111,Aurobindo Pharma,4.0,5.8k,20.4k,299,25,480,"Job Security, Salary, Work Life Balance",Promotions
112,Tata Capital,4.0,5.8k,16.5k,288,4.2k,275,"Job Security, Company Culture, Work Life Balance",Promotions
113,Shapoorji Pallonji Group,4.1,5.8k,15.5k,449,39,655,"Job Security, Company Culture, Work Life Balance",Promotions
114,UST,3.7,5.8k,41.2k,611,715,420,Work Life Balance,"Promotions, Salary, Job Security"
115,Standard Chartered,3.6,5.8k,42.5k,331,1,318,"Promotions, Work Satisfaction, Salary",
116,Apollo Hospitals,4.0,5.7k,16.9k,499,286,525,"Job Security, Skill Development, Company Culture",Promotions
117,Mahindra Finance,3.9,5.7k,12.4k,227,127,526,Promotions,
118,Udaan,3.9,5.7k,14.8k,376,--,762,Salary,"Job Security, Promotions"
119,Swiggy,3.7,5.7k,24.5k,598,198,369,"Job Security, Promotions, Work Life Balance",
